time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2017-01-01,267.27295,20.210526,20.237595,17.388723,0.2311278,0.5219388,0.0,47.12256,0.0024018046,85.25038,149.50375,2.7473686
2017-01-08,259.82944,37.323307,19.652416,15.695059,0.10103114,2.853061,3.989796,51.845432,0.0016548978,61.916435,240.71323,5.7717505
2017-01-15,267.16852,37.7594,19.084854,16.336735,0.21117075,5.1178575,14.477041,51.30709,0.002353405,63.39688,212.32759,5.535016
2017-01-22,274.06363,24.977444,20.365627,18.864016,0.15654135,3.6086738,33.237755,72.37658,0.0042530717,67.34437,172.85391,3.7322233
2017-01-29,270.62482,29.353384,19.981312,17.215576,0.12995704,3.5862246,1.5193878,71.08443,0.0030110849,85.066605,266.02792,5.1685286
2017-02-05,265.8945,44.69173,17.97809,12.823093,0.2596026,6.752041,0.44693875,38.61407,0.0017121804,99.81193,264.48654,5.9561768
2017-02-12,268.72256,35.218044,18.996456,19.215038,0.23280343,5.8959174,13.564286,50.55403,0.0030970783,103.91386,217.28896,5.436735
2017-02-19,273.23578,40.62406,17.889688,14.899892,0.5014286,10.309184,0.0,38.467026,0.0032954996,134.93652,239.64447,4.68507
2017-02-26,275.05286,40.917294,18.193985,17.84608,0.3183566,8.134184,8.441326,59.542107,0.0051732007,122.17368,204.92052,5.2349086
2017-03-05,272.1769,42.451126,18.05768,14.796994,0.2783029,7.984694,29.518366,50.791195,0.0037378941,135.36111,214.25136,5.9084854
2017-03-12,271.9771,52.037594,16.66359,11.426639,0.419087,11.844388,6.270408,32.813427,0.0026394844,180.66089,236.85179,6.7350163
2017-03-19,269.6335,34.18797,16.106445,13.937593,0.27228788,7.82449,13.30204,47.472286,0.0026097852,152.52397,207.18582,4.7445755
2017-03-26,274.9699,37.390976,16.525778,15.73158,0.44406015,12.054082,17.482143,46.56574,0.0047463267,163.91719,132.38884,5.0900106
2017-04-02,276.02924,22.804512,19.797531,21.351665,0.20610099,7.4566326,36.95714,69.474434,0.0050193127,155.20732,115.91084,4.586359
2017-04-09,278.76974,41.849625,20.572075,16.200214,0.52049404,14.427551,31.067348,51.399143,0.00477667,174.65437,203.35767,6.2642317
2017-04-16,280.28506,31.473684,19.916864,16.103544,0.59199786,17.378572,18.488777,48.65263,0.0069370894,228.42372,194.49731,5.42492
2017-04-23,278.93503,37.097744,18.70419,13.784747,0.71662724,18.755613,1.6989797,38.613964,0.005508808,265.84995,167.33511,4.498282
2017-04-30,280.671,36.654137,17.833836,15.024167,0.5667132,14.962756,58.958675,53.673042,0.0061956923,190.1565,135.83675,5.4406013
2017-05-07,284.29422,31.150375,19.622877,16.999035,0.3983888,14.34796,5.3556128,76.27057,0.0047352733,244.89507,159.3276,5.5827074
2017-05-14,291.27014,27.413534,19.051342,15.271752,0.61566067,18.131123,23.818874,86.29378,0.0062197745,271.05878,112.16757,3.4204082
2017-05-21,296.4956,41.1203,18.342642,15.027713,0.84136415,22.790817,15.340307,89.07229,0.008905231,246.00098,156.52202,6.5907626
2017-05-28,293.55994,34.63158,19.341032,16.874006,0.61435014,19.09592,20.281122,87.76756,0.008058087,251.127,134.38023,4.225027
2017-06-04,299.61484,37.05263,17.558968,11.03362,1.4028678,30.505102,0.057142857,67.498505,0.0073996997,331.0738,241.56712,4.285714
2017-06-11,300.06003,52.56391,15.418044,10.602577,1.3243607,32.260204,0.65204084,74.70602,0.009124919,343.0853,153.59721,5.4766917
2017-06-18,303.34286,40.105263,15.308164,13.780881,1.0699892,28.389795,23.067856,92.84125,0.013577765,302.6258,216.49948,4.619227
2017-06-25,299.38077,34.616543,16.15843,14.061762,1.079957,26.437757,17.616327,81.55791,0.009357584,283.02045,237.84964,4.614823
2017-07-02,300.1379,37.06015,16.067024,13.277552,1.0991622,27.835205,18.70255,80.914604,0.010273544,302.8207,234.55319,4.9339423
2017-07-09,301.27133,31.06015,15.804834,13.492158,0.99901175,26.103573,8.433164,85.24941,0.01255624,310.75674,167.48766,3.0406015
2017-07-16,299.72427,25.56391,17.615896,17.693554,0.5208485,21.156122,26.075512,96.15531,0.014300246,283.49463,212.60257,3.617508
2017-07-23,302.7547,26.082706,19.07261,18.018154,0.9145113,24.983673,51.197964,92.34051,0.014481772,296.6523,126.557465,2.922449
2017-07-30,299.47177,31.323309,19.09957,14.657465,0.933609,25.536736,0.95051014,80.72793,0.0115732225,314.39853,88.41568,4.074329
2017-08-06,299.81644,30.954887,17.9565,14.058326,0.9630611,21.19592,15.84796,83.95769,0.0111950915,239.04555,190.96349,3.384855
2017-08-13,299.05057,28.661654,17.190763,14.04973,0.86638016,21.57653,2.022449,90.10344,0.010758334,273.0416,169.40063,2.825564
2017-08-20,301.76392,32.676693,16.530397,14.12986,1.1084104,24.499489,4.6653056,85.43556,0.012268625,269.4639,163.05695,3.8070893
2017-08-27,298.68256,33.93985,16.289688,13.922019,0.98975295,20.962242,8.833674,81.7043,0.009736036,237.01933,172.30183,3.454565
2017-09-03,291.3785,37.17293,16.033405,14.051019,0.91123515,19.495409,7.7183676,83.85725,0.009009044,238.07368,139.13213,3.5382383
2017-09-10,284.20676,41.93233,15.093662,12.103867,0.8825027,19.392857,0.22551021,79.32074,0.0069027175,216.8975,205.8088,4.3961334
2017-09-17,288.64673,37.69173,14.168205,12.277658,1.093566,19.810204,0.5852041,82.01686,0.009524479,214.26477,126.75831,3.3895814
2017-09-24,292.50214,34.93985,14.479806,13.490763,1.4052954,20.915817,7.121938,81.482704,0.011975597,204.30527,130.93126,3.3573577
2017-10-01,286.51074,42.804512,13.354888,10.700751,1.21232,19.363266,0.010204081,70.53427,0.007116756,194.87175,205.31258,4.072932
2017-10-08,288.04187,50.37594,13.576158,13.833942,0.8841245,16.658163,17.342857,85.51504,0.009419527,147.69087,192.47154,5.141568
2017-10-15,285.23984,27.165413,17.483244,20.307413,0.39025775,8.892858,115.32041,94.049095,0.0089261,115.84071,136.62083,4.7088075
2017-10-22,284.0145,40.75188,18.24318,14.81332,0.8991407,16.292349,21.681633,76.98604,0.0065941564,152.93845,209.36949,5.229538
2017-10-29,275.8722,29.142857,20.144575,18.412674,0.27861437,6.713265,20.543367,87.363914,0.004317164,97.42481,252.98714,5.294415
2017-11-05,276.31448,37.473682,19.296562,16.72911,0.21688509,6.0102043,15.456633,85.839096,0.0049486575,90.03438,184.44681,4.934479
